input,output,language,instruction
"Khan sr ko dil se ""Salam"" kyonki wo hai Jita-Jagta ""Kalam"".Jay Hind.",positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Bhai tohni itna aasan tarika se sb k  samaj k itna bara mudda k samjha de hau aur upar se hasi v aaba hai  Love you bro keep it up⬆🆙,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
पर्यावरण के प्रति जागरूक करते रहिए।,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Sab Log Tweet Kro.... #Findpankajpathak,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
haalat jitna kambakt hota hai bihari utna hi sakt hota hai jai hind jai bihar,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
General hona gunah h....line😔,negative,hindi,Classify the given article as either positive or negative or mix sentiment.
up shishak bharti 2019 par comedi banaye bhai.,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
#ShameOnMungerPolice #ShameOnBiharPolitics 100 % NOTA दबाइये और राजनैतिक दलों को तमाचा मारिये।,negative,hindi,Classify the given article as either positive or negative or mix sentiment.
जय हिंद कहीं ना कहीं इंडियन टीम का कमी महसूस हो रहा है बहुत दुख की बात है हमारे इंडिया टीम कमजोर दिखाई दे रहा है जय हिंद,mix,hindi,Classify the given article as either positive or negative or mix sentiment.
खान सर जिंदाबाद 🙏🙏 जय मगध❤️❤️ जय बिहार😘 जय हिन्द 🇮🇳🇮🇳,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
इंडियन आर्मी रैली भर्ती 2020 स्पोर्ट्स कोटा साधारण भर्ती रिलेशन भर्ती वालों के लिए सुनहरा अवसर https://youtu.be/eZQEDunWXQ8।,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
जय हो,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Hste hste pet drd(during listen ur language),positive,hindi,Classify the given article as either positive or negative or mix sentiment.
"Tag kro Nitish ji ko twitter pe, Bihar election se phle krwa lo jo krwa sko ek br election jeet gye ye fr se, to gya sab thande baste m",mix,hindi,Classify the given article as either positive or negative or mix sentiment.
Khan Sir mere sbse Acche teacher hain. Bhar me Jaye Pakistan. Love you khan Sir..,mix,hindi,Classify the given article as either positive or negative or mix sentiment.
"बिहार सरकार का छात्रो के प्रति जो रवैया है उसपे वीडियो बनाइये, छात्र नेता दिलीप कुमार के समर्थन में। Thank you guys",positive,hindi,Classify the given article as either positive or negative or mix sentiment.
"कॉमेडी के माध्यम से , वास्तिवकता को उजागर करने में आप सफल है । बहुत सारा प्यार❤️",positive,hindi,Classify the given article as either positive or negative or mix sentiment.
आप सब को छठ पूजा की हार्दिक शुभकामनाये आप सभी हमेशा खुश रहे✨💥i✨i,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Ye murkh khud bno samjhe padhe likhe ko murkh nahi bna sakte ho,negative,hindi,Classify the given article as either positive or negative or mix sentiment.
Khan sir is the best teacher                 Jai hind bhai,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
"अरे बाप रे आज तो दिल मे आग लग गई,,",positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Dislike karne wala lagta hai China ke baal Baccha Hai,negative,hindi,Classify the given article as either positive or negative or mix sentiment.
Jai Maa Ambe Jai Jagdambe 🙏🙏,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Bhaiya aaplog ka video bahut badhiya ek baar aisa boliye ki rapist log bhi dar jaaye,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Bihar ko hi kota me tabdil karne ka ek sunahara awasar h teacher log ka.,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Kon kon 2023 may sun rahe ho❤,neutral,hindi,Classify the given article as either positive or negative or mix sentiment.
भैया बिहार शिक्षक नियोजन के अभ्यर्थियों के     समस्या पर वीडियो बनाइये,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Thanks sir nice video... Sir aap to junoon aur bhi badha deye hai.. padhne ke prati.. Love you sir.  Sir hum bhi aapke chela hai.,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Such,neutral,hindi,Classify the given article as either positive or negative or mix sentiment.
Mast,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Muruk sundar,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
आप लोग कल से ही धरना पर बैठे हम लोग भी जाते मगर हम लोग दूसरे जिले से हैं,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
ये कितनी बार भी सुन ले.. मन नहीं भरता..इतना सुंदर वर्णन.. मन मोह लेता है। ये ४९ मिनट भी कम ही लगता है।  जय सियाराम 🙏,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Ye pure boards level padhate hai . Neet aur IIT jee ki tyari to door ki baat hai,negative,hindi,Classify the given article as either positive or negative or mix sentiment.
Nice job aap dono ki.....bsdk ye dislike kaun krta h bc....,negative,hindi,Classify the given article as either positive or negative or mix sentiment.
जय हिंद  जय भारत  जय बिहार,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Maa sarde par bhee banaiye bheya Jee sath hi ma Kali pe bhee,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
धन्यवाद भैया जी बहुत बहुत बधाई,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Jabardast jhumar .nice,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
राज्य के परिस्थिति के अनुसार कमाल का विडियो हैं भाई ❣️,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
I appreciate your time and consideration for those students who are planning to be able..❤️❤️👍👍👍👍👍👦👦👦,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Sach me bhaiya aap log hi bihar sarkar ko aayna dikha rhe hai....  Love u from gaya,mix,hindi,Classify the given article as either positive or negative or mix sentiment.
JAY MATA DI,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Jay ho baba bhuiya  Pappu Yadav  chakhabib,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
नींबू पर नींबू नींबू पर धागा इमरान खान के बीबी को शी जिनपिंग लेके भागा True lines by khan sir 😜 😜😝,negative,hindi,Classify the given article as either positive or negative or mix sentiment.
Ab tk ka sbse best video... Love u brothers❤️,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Bat sahi hai,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Ha,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
"बेहद रोचक , कर्णप्रिय , सुंदर वर्णन , मैथिली भाषा भी बेहद खूबसूरत होती है.. कई बार सुना है इसे..💝💝💝",positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Isiliye aap magahi film industry banaiye we supporting you  will  can get the change,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
"Bilkul maza nhi aya, samjh hi nhi aya what is the purpose for this content. Kuch bhi bol diya aa kar. Throw of speech bhi acha nhi tha. Need more practice for this. But I support magadhi boys",mix,hindi,Classify the given article as either positive or negative or mix sentiment.
"लाल बहादुर शास्त्री को विष देने वाला मुस्लिम  रसोइया पाकिस्तान भाग गया था,जिसे इंदिरा गांधी आजीवन पेंशन देती रही थी, ""ये हर हिन्दू को पता होनी चाहिए""🙏",negative,hindi,Classify the given article as either positive or negative or mix sentiment.
Bhai gane ke bol aur Awaj dil ko chhoo gya  Thanx for presenting current situation of government and students,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Aap dono sach me yodha hai ..bhaiya... love you,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Aap dono sabse best ho,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
हर देशभक्त को खान सर का समर्थन करना चाहिए ।,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Dil SE support hai bhaiya jii apko mere trf se🥰💚💜,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Kon kon 2023 me sun Raha hai 🚩 jay mata di,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Sunny Leone wala line.... Epic tha bhaiya 😅😂..   Kahin majak majak me aap yugal   bhaiya ka love life nhi na share kar diye Marde.. 😜😅😂,negative,hindi,Classify the given article as either positive or negative or mix sentiment.
"Jai Mithila, Jai Bihar, Jai Bharat",positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Jay hind🇮🇳,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Jay govind ji maharaj ki jay,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
"सबसे पहले जाति का देश में उत्पत्ति किसने किया हम तो एक थे लेकिन भेदभाव करना किसने सिखाया हिंदू किसने बांटा और अपने आप को श्रेष्ठ किसने माना ,.........",negative,hindi,Classify the given article as either positive or negative or mix sentiment.
Hello bhi nahi,negative,hindi,Classify the given article as either positive or negative or mix sentiment.
Jai mata rani,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
"वाह भईया मगधी के अन्य धुरंधरो को साथ लाने को, जय मगध.. 👍👌",positive,hindi,Classify the given article as either positive or negative or mix sentiment.
असली बिहार 😇,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
"भैया ये सब संविधान का कोई अस्तित्व नही रखा है, आने वाले समय मे यही बिहार की जनता जवाब देगी।",positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Jeevika bihar ka soul hai,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
"मै बेरोजगार...                       मै रोज के के 35 से 40 ट्वीट कर रही हूँ, साथियो आप भी जागो.. अभी नहीं तो कभी भी नहीं.. अभी लोहा गर्म है हथोड़ा दे मारो, हमें बीजेपी कांग्रेस से मतलब नहीं✖️हमें बस रोजगार चाहिए... दोस्तों आप चाहे जो भी राज्य से हो एक हो जाओ 💪हमने जो मेहनत करी है आज तक विपरीत परिस्थिति मे भी उसका हमें परिणाम चाहिए, दोस्तों अब ये कारवा चल ही पढ़ा है तो इसको मंजिल तक पहुचाओ... वैसे भी नदी कभी पर्वत से नहीं पूछती समंदर कितना दूर है.. दोस्तों अबकी बार pm ऐसा चुनना जो विवाहित हो, ताकि मन की बात पत्नी से कर सके, और हमसे काम की बात करे... दोस्तों जितना हो सके ट्वीट करो, मेरी बातों पर जरूर गौर करना दोस्तों, मै लड़की हो कर आपको जागरूक कर रही हूँ ➖️➖️➖️➖️हम देश का भविष्य है...                     सभी प्रतियोगी परीक्षा की तयारी कर रहे मेरे भैया दीदी से नर्म निवेदन करा है मैंने ❇️धन्यवाद 🙂🙏",negative,hindi,Classify the given article as either positive or negative or mix sentiment.
mzak mzak m serious baat kr gye bhaia aap,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
"🚩 न जाने कहां तुम चले गए, सुशांत तुम बहुत याद आओगे 🚩",positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Jhakasssss 😘,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
बेटियों को भी सम्मान दिया जाय ये हम सब का कर्तव्य है,neutral,hindi,Classify the given article as either positive or negative or mix sentiment.
Video ka image dekh kr dislike kr diye bhai sorry,mix,hindi,Classify the given article as either positive or negative or mix sentiment.
Ek dam shi concept bhai.,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
"बिहार पुलिस का यही काम रह गया है यदि कोई बाइक वाला अगर मास्क लगाकर नहीं है तो उसे झट से पकड़ लेती है और पैदल वाले लोगों के लिए कोई नियम कानून नहीं है यह सब सिर्फ पैसे की लालच में करते हैं काश इतना मेहनत करके अपराधी को पकड़ने की कोशिश करते तो,,,,,,,",negative,hindi,Classify the given article as either positive or negative or mix sentiment.
aap log nahsn hai,neutral,hindi,Classify the given article as either positive or negative or mix sentiment.
Bihari युवा को इसी सरकारी नौकरी के chakr मे बर्बाद किया जा रहा है. 28-30 हो जा रहा है सभी का उसके बाद कोई नौकरी भी नहीं और फिर कमाने लायक भी नहीं होता है,negative,hindi,Classify the given article as either positive or negative or mix sentiment.
Bhaiya ji AAP Nalanda University pe his trh video bnaye the Bihari no. One usi trh bnayee na ya bihar ke Rajneeti pe ya kisne brbad Kiya uspe btaye naa,mix,hindi,Classify the given article as either positive or negative or mix sentiment.
Full support bhai.,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
बेहद रोचक तथ्य 💙💚💛💜❤️🥰,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
gajab.......,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Maghdi  boy   ko   salam   h   aapke   jajbe   ko     sahayak police  ki   mang   100 % jayaj   h....,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Jay baba ganinath ki Jay,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
bhai mere  STET .. also cancelled !! so sad !!,negative,hindi,Classify the given article as either positive or negative or mix sentiment.
चंद्रवंशी भगवान जरासंध जी महाराज पर एक वीडियो बनाइए जो नालंदा जिला में है ❤️❤️,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
❤❤❤❤❤ No words for तारीफ,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
वैसे यह दुर्गा पूजा के लिए है....  पर हम निवेदन करते हैं कि माधव जी जल्द सरस्वती माँ के लिए भी कुछ गाएँ,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
"Very Good , Very Nice , Jordar Tamacha Dhire Se 👍",positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Jay sita ram 🙏🙏,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
नई सोच सही सोच सब पढ़ेगा सब बढ़ेगा 🇮🇳 बहुत बहुत धन्यवाद आपका 🎉,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Best friend parasite ki tarah hote h😂😂😂😂😀,negative,hindi,Classify the given article as either positive or negative or mix sentiment.
State or center dono ko tax km karna chahiye..,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
मैं अपने ग्रुप मगद तैलिक समाज मे शेयर कर     दिया भाई बहुत अच्छा वीडियो👌👌,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Khan sir jindabaad ❤❤❤,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Hum samjh gaye sir aap kahna kya chah rahe hain Hum modi ji se namrata purwak request karna chahte hain ki khane-pine ki chiz ko v itna mahnga kardein ki uske jagah koi dusra option khoja ja sake Or garibo ko bhukha na rahna pare 😥,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
बहुत बढ़िया प्रस्तुति,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
रोना आता है और अब तो लगता है कि बिहार में पैदा हुए हैं कोई गुनाह हो गया है आज तक के इतिहास में ऐसा कोई भी परीक्षा नहीं हुआ जिसका पेपर लिक नहीं हुआ है,negative,hindi,Classify the given article as either positive or negative or mix sentiment.
Goli banduk .. Leke bisrajan karoge to yahi hoga  Na ..,negative,hindi,Classify the given article as either positive or negative or mix sentiment.
"अगर ये दूसरे राज्य में हुआ होता तो अब तक ______गृह मंत्रालय मामले  का संज्ञान ले रहा होता, ये सरकार हिन्दू विरोधी हैं, इस्लामिक एजेंडा चला रही हैं""  ,हिन्दुत्व खतरे में है।     ऐसा कुछ सुनने को मिलता और मीडिया अपना तंबू लगा, लाइव रिपोर्टिंग, चिला चिला डिबेट कर रही होती, अब तक ना जाने कितने नेता बहती गंगा में हाथ धो आते, कैंडल मार्च, शोक सभा, घड़ियाली आँसू ना जाने क्या क्या देखने सुनने को मिलता।",negative,hindi,Classify the given article as either positive or negative or mix sentiment.
Ye Lijiye Aapke Pyaar ne Vishwajeet Bhai Ko Video Banane Par Mazboor Kar diya.Aisehin Pyaar Baatate rahiye or Video Ko aage Sab Ko batate rahiye😊😁😘.,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Yadav akele 10 crore h bihar m to uske anusar profit milega n babu,negative,hindi,Classify the given article as either positive or negative or mix sentiment.
यह वीडियो काफी प्रसन्न शेयर करने कि वाकई में लायक है क्योंकि यह वीडियो में यह बताया गया कि समाज का एक नया मोड़ जो आजकल युवा हमारे बीच में भटक रहे हैं किसी गली में कुत्ते लेकर भटक रहे हैं तो इस से अच्छा है कि अपने घर पर एक गाय का बछड़ा गाय पालने इससे हमारे समाज में जो है कि काफी अच्छे से नया दिशा मिलता है तो आप दोनों को बहुत-बहुत धन्यवाद ऐसे वीडियो को देने के लिए हमारा मोटिवेशन हमारी संस्कृति को जगाए रखने के लिए धन्यवाद आप दोनों।,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Bhut mast  विश्वजीत भैया लव यू मै भी दिल्ली में यूपीएससी  का तैयारी 3साल से इसी हालात है हूं रूबरू मेरे पास   आप के वीडियो देखकर आख में आंसू आ गया है😭,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
"Kisi ne kya khoob kaha hai:  Bujurgon ko kabhi alag mat karna, Patte ped me hi hare hote hai.  Perfect display bhai...proud to be Bihari. Jai Bihar. Jai Hind.",positive,hindi,Classify the given article as either positive or negative or mix sentiment.
इसी तरह संघर्ष जारी रखना है हमलोग हमेशा साथ है मग्धी बॉय की जय हो,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Ham to iss bhajan ko april me sunte है,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
रूम लेने के लिए उतना पैसा ही नहीं है और जिस जगह से हम आते हैं वाह अच्छी शिक्षा का वेवस्था ही नहीं है लेकिन पढ़ना तो है न सभी को सब सुविधा नसीब नहीं होती,negative,hindi,Classify the given article as either positive or negative or mix sentiment.
Doshiyo ko saza dilwao...Chahe Hindu ho ya Muslim but Hindu muslim na karo abhi ek hokr corona se ldke ka wqt hai,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Name modi  Kam bakchodi🤣🤣🤣🤣🤣🤣 👍👍👍👍👍👍👍,negative,hindi,Classify the given article as either positive or negative or mix sentiment.
Jai  Mata di,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Ap k aawaj me saraswati ka virajman bahut sunder gaati ho Like u,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
भाई जी गया से प्रणाम 🙏🙏 कर रहे है।,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Bihar ke liye ek like❤️❤️ 👇👇,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
आप मैथिली व्याकरण के आधार पर बताते हैं हम आपसे आग्रह करते हैं इस तरह का वीडियो बनाते रहें। हमारे दिल में मैथिली सीखने की बहुत बड़ी तमन्ना थी‌ आपके वीडियो से साकार हो रहा है।,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Jai magadh jai bihar.,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Khan sir zindabad,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
"बिहार का लोकतंत्र  आजकल बिहार में लोकतंत्र का महापर्व चल रहा है। लोग अपने क्षेत्र के सुदृढ़ भविष्य के लिए जनप्रतिनिधी चुनने वाले हैं। लेकिन एक विकृत सोच जो जनमानस के मस्तिष्क में इन नेताओं ने समाहित कर दिया है कि जनता खुद अपने विवेक से इनका मूल्यांकन करने में असमर्थ है। जहाँ सत्ताधीशो के काम कि विवेचना आलोचना होनी चाहिये वहां लोग इनकी चाटुकारिता कर रहे हैं। पहले के समय में जैसे चाटुकार दरबारी अपने राजा की हर स्थिति में प्रशंसा करते थे चाहे उसका कोई कार्य या निर्णय गलत भी हो वही स्थिति कमोबेश आज भी है। आज के नेता दुसरे की लकीर को छोटा करके अपना लकीर बड़ा साबित करने में लगे हैं। अपने कामों से लकीर को कितना बड़ा किया इसकी कोई चर्चा नहीं है। कुछ लोग कह रहे हैं कि 15 साल जंगल राज था उनके बारे में क्यों सोचे। पर उन्हें ये ज्ञात नहीं कि उनके गलत कार्यो का प्रतिफल जनता ने 2005 में दे दिया है। क्या कोई पांचवीं कक्षा में बहुत खराब अंक लाए तो क्या उसी को ध्यान में रखते हुए उसको जबरदस्ती दसवीं कक्षा में भी खराब अंक दें। कोई कह रहा है कि सत्ताधीश ने सड़क बनाया बिजली दिया। तो उन्हें मैं बताना चाहता हूँ कि उनके सही कार्यो का प्रतिफल जनता ने उन्हें 2010 में जबरदस्त बहुमत दे के जताया है। कहने का तात्पर्य यह है कि अगर कोई सातवीं कक्षा में बहुत अच्छा अंक लाए तो क्या उसी को ध्यान में रखते हुए उसको जबरदस्ती दसवीं कक्षा में बिना उसका मूल्यांकन के उसको अव्वल अंक दें। कुछ लोग कह रहे हैं कि उनके पास विकल्प ही कौन है। तो मैं कहता हूँ कि नये लोग भी हैं। तो उनका जवाब होता है कि उनके पास अनुभव नही है। ये सब तो बस बहाने हैं। अनुभव तो तब होगा जब हम उन्हें मौका देंगे। अनुभव से बड़ी चीज होती है काम करने की नीयत। अगर किसी के पास राजनीति का अनुभव है पर काम करने की नीयत नही है तो वो अनुभव किस काम का। लेकिन अगर किसी के पास काम करने की नीयत है तो वो अनुभव भी प्राप्त कर सकते हैं। फिर वो कहते है कि कैसे मान ले कि नये लोग की नीयत अच्छी है। फिर मैंने कहा कि उन लोगों ने जो मुद्दे उठाए हैं वो किसी ने पहले नही उठाए हैं। जैसे हमारे कल-कारखाने क्यों बंद हो गये।उसको खोलने की कोशिश क्यों नहीं हुई। हमारे लोगों का जीवन स्तर क्यों नहीं सुधरा। लोग पढाई, दवाई, और कमाई के लिए पलायन को क्यों मजबूर हैं। अगर ये मुद्दे पुराने नेता उठाएंगे तो उनकी अपनी ही पोल पट्टी खुल जाएगी। राजनीति में नये लोगों ने भी अच्छा काम किया है। जैसे आन्ध्र प्रदेश में एन टी रामाराव, दिल्ली में अरविंद केजरीवाल । बाकी हर चुनाव नया होता है और चुनाव के कटघरे में खड़ा सत्ता पक्ष होता है न कि और कोई। हम प्रजातंत्र हैं और सारी शक्तियां हममें निहित है। अगर हम गलत लोगों को चुनेंगे फिर हमे शिकायत करने का भी हक़ नहीं होगा। बाकी हर व्यक्ति का अपना मत और विवेक होता है और लोकतंत्र में सभी को सहमति और असहमति का अधिकार है।                  धन्यवाद   चन्दन कुमार सिन्हा",negative,hindi,Classify the given article as either positive or negative or mix sentiment.
"बहोत बढ़िया मागधी बॉयज,आप अब बिहार के अलग-अलग छेत्र...जैसे सीमांचल एरिया,मगध एरिया ऐसे सब एरिया का विशेषता बताते हुए वीडियो जरूर बनाएं।और देखा दें बिहारी की हर विशेषता को",positive,hindi,Classify the given article as either positive or negative or mix sentiment.
आबाज उठाने के लिये ❤️ से बहुत बहुत धन्यवाद भाई ! ❤️जियो बिहार के लाल❤️       हम आपके साथ हैं,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
चाचाजी चाचीजी को प्रणाम 🙏🙏🙏 बहुत अच्छा लगा तीनो को एकही फ्रेम मे देखकर,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
मागध छेत्र की सान🤣😂,negative,hindi,Classify the given article as either positive or negative or mix sentiment.
बहुत बढ़िया फिल्म बनाया माधव भाई आप आप जैसा भाई सभी को देना चाहिए भगवान को🙏🙏🙏👪👨‍👩‍👧👨‍👩‍👧‍👦👨‍👩‍👧,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Public kuch nahi bola gii .. 😡😡,negative,hindi,Classify the given article as either positive or negative or mix sentiment.
Shukriya Jehanabad Ka naam Lene k liye ☺️,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Jupiter me padhai ke alawa sb kuchh hota hai. Aisa scholarship ka v kya kre jb padhai hi nhi hota hai sahi.,negative,hindi,Classify the given article as either positive or negative or mix sentiment.
Ab khan sir ke upar bhi video banaiye bhaiya,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Ab baat kisi ek k liye nhi sabhi ladkiyo k liye socha hoga  Pehle log dahej k liye beti paida nhi krta tha or ab is dar se paida nhi krenge ki kahi rape na ho jaye,negative,hindi,Classify the given article as either positive or negative or mix sentiment.
Same mere sath hua bro💔💔💔💔,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
"बिना जोड़ी के मजा नहीं आता है, वैसे वीडियो अच्छा है ""त्रिपाठी जी पाठी खोजे गैल हथी 🤣🤣🤣",positive,hindi,Classify the given article as either positive or negative or mix sentiment.
Bhaiya  exam pr video banao n plz,positive,hindi,Classify the given article as either positive or negative or mix sentiment.
